entry	GVA_LT	sEMP_LT	EMP_LT	sSEMP_LT	sEMPh_LT	EMPh_LT	sSEMPh_LT	MCCons_LT	BVP_LT	BNP_LT	GNP_LT	GFCF_LT
1999Q1	3602.7	306.9	1128.1	1435	116280	517229	633508	479.9	2828	2756	2276.1	448.4
1999Q2	3976.9	302.7	1189.9	1492.6	144504	525361	669865	480.3	3307.5	3210.6	2730.3	767.2
1999Q3	4280.8	279.4	1208.5	1487.9	135716	450305	586021	482.4	3298.2	3220.2	2737.8	719.6
1999Q4	4010.1	279.6	1150.8	1430.4	109293	523864	633157	486.3	3278.4	3222.4	2736.1	778
2000Q1	3771.2	276.7	1092.1	1368.8	115011	540257	655268	489.7	3037	2946.2	2456.5	465.7
2000Q2	4052.8	275.4	1144.6	1420	138348	538992	677341	492.7	3378	3325.4	2832.7	660.2
2000Q3	4414	278.6	1147.8	1426.4	136100	453861	589961	495.8	3427.3	3361.5	2865.8	639.8
2000Q4	4240.7	270.7	1110.9	1381.6	114209	546444	660654	499	3525.9	3495.1	2996.2	742
2001Q1	4026.9	312.3	1047.3	1359.6	126809	517445	644253	502.3	3204.7	3127.6	2625.4	469.2
2001Q2	4265.4	281.8	1085.5	1367.3	141011	502981	643992	505.7	3580.7	3511.3	3005.6	649.9
2001Q3	4685	232.6	1100	1332.6	116776	428257	545034	508.6	3654	3632	3123.4	663.5
2001Q4	4576.5	243.6	1080.9	1324.5	99477	532047	631524	510.9	3755.1	3732	3221.1	917.2
2002Q1	4215.5	270.6	1076.4	1347	100540	525344	625884	512.1	3338.1	3299.6	2787.5	505.4
2002Q2	4605.9	295.9	1117.8	1413.7	144887	515531	660418	512.2	3832.7	3758.1	3245.9	815
2002Q3	5058.3	294.1	1135.8	1429.9	139507	443864	583371	517.3	3988.7	3978.7	3461.4	850.5
2002Q4	4860.8	267.5	1120.7	1388.2	109484	534295	643778	527.3	4042.6	4005	3477.7	965.8
2003Q1	4672.2	285.7	1091.2	1376.9	106057	523469	629527	535.7	3710.2	3547.4	3011.7	556.7
2003Q2	5035.5	307.9	1158.3	1466.2	139054	528193	667247	542.3	4132.3	4007.7	3465.3	890.5
2003Q3	5567.9	284.1	1162.6	1446.7	128021	462586	590607	550.8	4334.4	4269.4	3718.6	1064.8
2003Q4	5440	293.7	1119.4	1413.1	119099	539677	658776	560.9	4491.5	4431.1	3870.2	1121.9
2004Q1	5003.8	269.9	1120.1	1390	113456	532507	645963	569	3932	3795	3226	849.9
2004Q2	5409.4	269.1	1151.5	1420.7	125827	549443	675269	575	4504.7	4404.5	3829.5	1018.3
2004Q3	5841.8	267.3	1154.1	1421.4	128499	517708	646207	587.6	4760.8	4677.8	4090.2	1086.6
2004Q4	5817.4	246.4	1161.9	1408.3	109966	571546	681512	606.7	5040.3	5005.3	4398.6	1181.8
2005Q1	5279	243.6	1152.8	1396.4	100934	546173	647107	623.2	4391.1	4331.7	3708.5	906.8
2005Q2	5793.1	251.7	1166.6	1418.4	121425	563083	684508	637	5176.2	5113.4	4476.4	1222
2005Q3	6369.8	246	1191	1437	121599	538391	659989	654.9	5576.4	5434.3	4779.4	1531.3
2005Q4	6336.2	243.3	1187.8	1431.1	105832	572057	677889	676.7	5858.6	5842.2	5165.4	1391.7
2006Q1	5679.2	248.3	1155.6	1404	100483	546517	647000	695.2	5040.5	4941.5	4246.3	1362.1
2006Q2	6274.1	264.2	1158.9	1423	127461	548692	676153	710.1	5887	5661.5	4951.4	1430.6
2006Q3	6806.2	240.1	1185	1425.1	118216	532149	650365	734.9	6456.9	6294.5	5559.5	1856.2
2006Q4	6779.7	218.5	1194.5	1413	97102	583748	680851	769.6	6694.8	6722.2	5952.6	1786.3
2007Q1	6234.8	215	1201.6	1416.6	90212	573432	663644	800.7	6030.8	5808.9	5008.3	1868.4
2007Q2	7000.3	220.7	1232.1	1452.8	107475	585234	692709	828	7176.1	6887.5	6059.5	2386.8
2007Q3	7645.4	227.4	1243.6	1471	113918	570236	684154	860.2	7834.3	7432.7	6572.5	2734
2007Q4	7490.3	182.8	1257.3	1440.1	88319	622369	710688	897.4	7999.4	7818.2	6920.7	2335.5
2008Q1	6676.2	157.1	1258.7	1415.8	75954	610175	686129	941.4	7167.3	6812.9	5871.5	2317.2
2008Q2	7379.3	166.4	1265.5	1431.9	86621	613607	700228	992.1	8483.3	8012.5	7020.3	2517.8
2008Q3	7769.3	174.9	1269.6	1444.5	90362	592993	683354	1010.8	8741.7	8441.6	7430.8	2702.8
2008Q4	7291.6	167.4	1244.8	1412.2	82262	605473	687735	997.5	8303.9	8314.6	7317.1	1580.2
2009Q1	5752.7	154	1174.9	1328.9	70005	546711	616716	992	6395.7	6258.2	5266.1	694.4
2009Q2	6217.4	163.2	1157.6	1320.8	79327	539701	619028	994.6	7065.6	7074.4	6079.9	932.5
2009Q3	6652.5	164	1164.6	1328.6	82452	521483	603935	997.4	6825	6972.1	5974.7	1038.6
2009Q4	6180.5	150	1137.8	1287.8	72317	540587	612904	1000.4	6648.5	7132.9	6132.5	666.7
2010Q1	5697.8	133.9	1087.1	1221	59879	500632	560511	1002.3	6285.9	6181.4	5179.1	1068.2
2010Q2	6296.4	136.2	1093.7	1229.8	66352	516355	582707	1002.9	7122.5	7034.5	6031.6	1311.5
2010Q3	6715.8	138.1	1122.6	1260.7	70651	527057	597708	1008.2	7336.9	7190.1	6181.9	1546.2
2010Q4	6499.7	134.6	1141	1275.5	63970	544375	608345	1017.9	7282.3	7099.6	6081.6	1119.1
2011Q1	6036.6	132.4	1100.4	1232.7	58657	505756	564413	1026.5	6908.7	6605.7	5579.2	1486.6
2011Q2	6636.7	132.7	1128	1260.7	65928	528996	594924	1030.9	7977.4	7635.2	6604.3	1782.1
2011Q3	7191.7	132.8	1126.9	1259.7	66726	504684	571410	1043	8352.3	8128.4	7085.3	2075
2011Q4	6868.2	133.1	1124.6	1257.8	65385	532477	597862	1063.1	8036.9	7758	6694.9	1448.2
2012Q1	6265.8	135.3	1115.5	1250.8	60013	519604	579617	1081.5	7483.6	7146.4	6065	1578.4
2012Q2	6766.1	146.3	1137	1283.3	73226	529634	602860	1098.2	8321.3	8183.4	7085.1	1409.8
2012Q3	7563.3	144.2	1153	1297.2	73022	514710	587733	1113.7	8963.2	8647.6	7534	2238
2012Q4	7161	138.2	1130	1268.2	65065	532589	597655	1127.7	8580.4	8364.9	7237.2	1234.8
2013Q1	6478.8	146.3	1119.3	1265.7	62675	515978	578653	1142.9	7698.8	7427.3	6284.4	1090.8
2013Q2	7037.9	157.9	1138.6	1296.5	78682	524723	603405	1159.4	8763	8417.1	7257.7	1574.8
2013Q3	7796.7	149.9	1157.8	1307.7	74935	514990	589925	1172.4	9513.5	9362.6	8190.2	2503.5
2013Q4	7413.9	154.7	1143	1297.7	72085	534621	606706	1182	8984.4	8843	7661	1634.6
2014Q1	6770.1	163.4	1131.1	1294.5	70414	517123	587537	1192.5	8186.4	7979.6	6787	1383.4
2014Q2	7336.4	162.8	1145.3	1308.1	79857	529812	609670	1204	9206.2	8860.9	7656.9	1748.6
2014Q3	8041.6	156.6	1190.1	1346.7	77085	525413	602498	1215.1	9895.7	10009.9	8794.8	2364.1
2014Q4	7595.4	155.8	1166.2	1322	69912	546628	616539	1226	9279.9	9243.1	8017.1	1462.6
2015Q1	6878.2	157.9	1158.8	1316.7	69282	536103	605385	1237.3	8234.3	7921.2	6683.9	1532.9
2015Q2	7464.3	167.5	1167.5	1335.1	82657	545408	628065	1249.1	9381.9	8926.9	7677.8	2203.2
2015Q3	8217.5	163.2	1185	1348.2	83268	529511	612779	1259.4	10146.9	9724.3	8464.9	2527.6
2015Q4	7788.7	166.3	1172.6	1338.9	77315	558383	635698	1268.3	9663.6	9330.3	8062	1440
2016Q1	7037.6	173.4	1177.3	1350.7	77708	556033	633741	1277.2	8531.8	8174.8	6897.5	1203.3
2016Q2	7588.1	168.1	1198.7	1366.8	82655	560108	642763	1286.3	9639.3	9174.3	7888.1	1762.7
2016Q3	8368.3	167.7	1200.4	1368.1	83744	555224	638967	1296.5	10382.4	10002.4	8706	2248.9
2016Q4	8066.5	162.5	1196.8	1359.2	75951	574471	650423	1307.8	10114.8	9791.8	8483.9	1453.3
2017Q1	7329.6	161.5	1183.2	1344.7	72572	546635	619208	1319.2	9277.7	8918.5	7599.4	1538.4
2017Q2	7899.8	169.8	1193	1362.8	81649	555180	636830	1330.5	10416.7	9964.6	8634.1	1694.3
2017Q3	8631.2	161.5	1195.3	1356.8	78935	535603	614538	1340.7	11207.3	10807.8	9467.1	2482.9
