"","date","GDP_LT","GVA_LT","K_LT","KBR_LT","KBS_LT","KDW_LT","KIP_LT","KTC_LT","obsvalue","KTR_LT","KWO_LT","LCe_LT","LEMPLh_LT","LEMPLp_LT","LHC_LT","LPh_LT","LPp_LT"
"1",1995-01-01,3567.760691,7.56678314674131,377.360966,9.707754,187.374326,44.340782,4.922363,231.715108,28.033229,131.015742,82.668789,534.112842759354,521848.67525,1220.630183,1.24931668493299,5.52598859406596,2406.75430570226
"2",1995-04-01,3649.162465,6.49698750600108,379.400774,11.008997,184.520435,46.235957,5.866019,230.756392,31.630286,131.769366,82.566475,579.370161949199,527006.681401,1213.908812,1.33452301426299,5.6676082265187,2449.29336052255
"3",1995-07-01,3637.944069,5.80996872041741,397.329781,12.34311,182.875721,54.126204,6.44429,237.001925,26.703612,141.540456,93.231385,623.45555695787,517609.190771,1187.7191,1.43059684063378,5.72402609253175,2474.6157499515
"4",1995-10-01,3732.147709,5.66983875032127,429.516468,12.650065,198.893829,34.503431,8.844604,233.39726,31.991265,174.624539,118.462485,670.531441461618,519277.089098,1201.471387,1.55143440354627,5.83681450232383,2506.47518340094
"5",1996-01-01,3763.609204,5.78941561511767,470.642263,16.071919,200.655276,40.38254,6.204889,241.037816,39.313252,207.327638,128.767858,739.686957686871,493761.635491,1146.173616,1.71704242302449,5.97936660289383,2553.32941285563
"6",1996-04-01,3740.042071,6.1996062805868,452.5013,14.634243,208.486228,53.468005,8.221671,261.954233,37.857545,167.691154,99.121813,778.392336173648,493685.476617,1143.799089,1.80342442135625,5.78368041661793,2492.06174388524
"7",1996-07-01,3891.940808,6.1056305434129,490.685784,14.941562,219.655099,54.797377,8.32483,274.452476,42.142387,192.966916,115.574818,820.481210178013,502708.966412,1169.512836,1.90878494539041,5.95341599167627,2566.59812299028
"8",1996-10-01,3910.849551,6.31318622880321,557.281794,15.762919,237.242342,45.467194,7.244808,282.709536,40.940745,251.564531,161.613208,859.577970346877,497779.218726,1154.717628,1.99399612852531,6.00970462252069,2601.13064624512
"9",1997-01-01,3969.720495,6.20374573984387,611.960567,11.449173,250.494988,54.397786,14.497115,304.892774,76.877992,281.121505,150.487786,894.079298281382,506270.343891,1172.625464,2.0708701677887,6.01308929214781,2631.43582021989
"10",1997-04-01,4082.886394,6.41946535342753,592.62006,10.697664,282.397734,55.465561,12.482155,337.863295,32.838614,231.576946,146.785022,971.171679166517,493102.217092,1136.56429,2.23847918695133,6.28434162921371,2735.12299985383
"11",1997-07-01,4222.930312,6.77600664906007,676.7903,11.518545,304.176492,50.59866,15.406169,354.775152,54.495661,295.090433,178.272662,1012.33252783226,495835.913009,1145.126546,2.33796871219967,6.51503861436081,2787.45310362797
"12",1997-10-01,4300.704169,6.91533438365302,707.622813,11.826367,319.554168,43.204397,16.307785,362.758565,86.29103,316.730097,170.641422,1048.19425563317,497928.697916,1157.830166,2.43735887101799,6.54914030939488,2860.41987920838
"13",1998-01-01,4368.758715,7.3282277366793,756.962034,8.886602,386.478517,56.4003,14.109095,442.878817,78.841777,291.08752,157.851585,1059.08966812922,523903.211618,1201.615735,2.42911053373714,6.57425478018723,2908.75823569932
"14",1998-04-01,4458.531434,7.3578523346992,782.433269,8.648026,378.681612,50.712127,14.468206,429.393739,73.982843,329.923298,191.01811,1113.96204450672,520858.4496,1198.26713,2.56273869229749,6.68259263947075,3010.4532103904
"15",1998-07-01,4502.553992,7.34626477923748,799.772993,8.955707,403.629972,52.682301,15.2301,456.312273,78.089196,319.274913,180.647794,1181.34274708017,511090.788244,1181.053218,2.72990373744303,6.7343536747252,3027.09221770184
"16",1998-10-01,4497.67186,7.09077064789606,745.536473,9.263566,376.628752,40.413301,16.093226,417.042053,34.408424,303.137629,201.380271,1182.12626515569,516921.522986,1186.583307,2.71354786099319,6.77081928349183,2990.90604993478
"17",1999-01-01,4419.482028,7.02022134666809,719.334834,6.659097,351.719257,60.402121,12.987372,412.121378,37.938567,287.566987,188.101922,1190.19045800688,493855.293771,1156.756881,2.78778220941457,6.98868903010583,2999.95174127471
"18",1999-04-01,4457.160993,7.0078045638079,758.443835,6.420499,398.282054,59.505996,14.584395,457.78805,44.136598,279.650892,178.403151,1161.80016909783,508430.734483,1192.617295,2.72521482480585,6.98319713486661,2999.69513039867
"19",1999-07-01,4372.487266,6.54382041137702,659.952211,6.728258,350.703616,54.445646,15.015328,405.149262,32.457886,233.059363,152.450185,1144.20395511267,511397.214122,1185.207298,2.65179168081366,6.87033244046511,3005.63832652403
"20",1999-10-01,4376.970193,6.01301296190753,626.987719,7.036177,309.947497,40.524979,17.229603,350.472476,61.374133,252.249463,145.59103,1152.90160539205,497441.554694,1150.519712,2.66651631831594,7.06411575688,3061.54693498056
"21",2000-01-01,4500.329586,5.49551171770439,622.754386,1.26952,296.106966,50.271474,39.638709,346.37844,64.277929,235.467716,128.010723,1159.000087479,516616.549056,1134.203659,2.544521932954,7.05135262433107,3181.20133010622
"22",2000-04-01,4543.135269,5.32004761288374,612.641382,0.858268,281.015775,57.419036,43.3237,338.434811,38.268755,230.024603,141.251896,1147.56723415439,524995.56411,1133.947295,2.47865096385338,6.99897197741024,3233.87823475029
"23",2000-07-01,4591.110733,5.30624397861939,641.838258,2.192358,292.444483,70.877673,47.025585,363.322156,52.572473,229.29816,130.516647,1154.76884759777,518123.0188,1121.582655,2.49973203854111,7.1149074129895,3294.35783653518
"24",2000-10-01,4669.840763,5.23307320292577,668.544917,2.500645,285.879303,45.133403,47.407721,331.012706,67.786328,287.623844,162.235433,1185.5729230377,518692.266258,1108.754271,2.53427538352029,7.26631084885881,3362.25652191054
"25",2001-01-01,4804.98061,5.19465248439034,701.486767,10.476928,312.39948,60.286264,39.884711,372.685744,49.106687,278.439384,164.383195,1224.89259947314,498840.472055,1082.286823,2.65753320803897,7.50440287451288,3453.13759039348
"26",2001-04-01,4793.836647,5.01561171256919,648.982354,11.26481,292.727483,58.15442,38.342821,350.881903,43.362571,248.492821,145.860248,1242.22248060752,492409.396218,1079.129164,2.72236581449499,7.79917343602375,3547.1469170901
"27",2001-07-01,4897.058479,5.42272565120586,692.296967,12.599314,313.82446,54.014671,39.889225,367.839131,60.316479,271.969298,151.402812,1241.85849208716,488373.526666,1076.514952,2.73741135013302,8.17388141607371,3738.6742257456
"28",2001-10-01,5020.088281,5.5335083088838,872.847093,12.394128,355.164945,53.982119,46.574505,409.147064,137.203487,404.731397,190.527776,1260.85152981683,498666.185645,1077.014688,2.72317565556115,8.22073922063755,3780.12268795921
"29",2002-01-01,5036.349107,5.4449533978615,770.809784,9.819774,341.780005,46.125515,37.389026,387.90552,63.956299,335.695465,189.189718,1283.62698192072,509314.038955,1107.151248,2.79035939774196,8.09921525737463,3656.29626466824
"30",2002-04-01,5185.929952,5.54718681676955,750.114351,10.607918,359.428328,51.200818,40.588148,410.629146,67.413956,288.289138,151.939068,1281.00227279501,500777.743763,1107.681507,2.83347761691169,8.2320649716947,3721.6198768383
"31",2002-07-01,5272.623207,5.54175475916233,780.922092,10.402493,361.273008,50.701659,42.23106,411.974667,58.20354,316.313872,179.087322,1323.29332538315,498145.492155,1110.758815,2.95066350925173,8.34177769154548,3755.26602109845
"32",2002-10-01,5336.21221,5.88506907490538,840.1806,11.224156,395.9685,56.405154,41.253207,452.373654,87.484569,335.329581,170.312316,1328.47632607523,509196.803215,1126.332611,2.93856167115057,8.45920001825883,3807.01102159987
"33",2003-01-01,5594.288263,5.7443381253515,822.301402,8.308893,399.132866,65.118286,47.547492,464.251152,55.271345,302.193864,182.124396,1380.6997563622,513705.354474,1120.759199,3.01229477077277,8.9067406139418,3973.71298780524
"34",2003-04-01,5668.989917,6.2461152650706,897.90863,9.096738,438.460272,58.433447,48.652038,496.893719,78.068783,343.266134,197.122325,1413.79154439996,519566.843854,1138.47083,3.09788904361321,8.80980680191188,3936.53685304897
"35",2003-07-01,5823.058275,6.44671525278207,916.78031,8.891737,458.784335,61.25521,49.17886,520.039545,68.229992,338.670168,200.179754,1418.29221345881,502916.08806,1143.177694,3.2239175888256,9.28452839849485,4087.62444730744
"36",2003-10-01,5921.881585,6.38875193673247,930.494382,9.200219,472.561877,50.402058,50.020489,522.963935,78.538698,348.309739,199.805279,1463.84809214964,516213.98423,1130.281441,3.20518308597934,9.13936227164544,4146.11671879048
"37",2004-01-01,5988.79752,6.54269691904129,960.441951,7.33309,456.602439,76.29115,51.851792,532.893589,76.041441,368.36348,211.56962,1512.39793486716,528367.346391,1141.121941,3.26634580805995,9.18130340695501,4226.93027062992
"38",2004-04-01,6092.184064,6.44256915771459,1048.136532,6.40796,447.785801,104.877262,56.648563,552.663063,113.238428,432.416946,228.766321,1578.12970400174,538019.919912,1145.281518,3.35936034356428,9.32976544048926,4334.18556199759
"39",2004-07-01,6122.460405,6.59876974981103,1080.669218,6.203391,466.499293,104.869884,61.254205,571.369177,128.961121,441.842444,225.861006,1619.88274417741,551889.281216,1143.309535,3.35579517492957,9.09357168389495,4357.57565797585
"40",2004-10-01,6288.344138,6.65091251013967,1048.301115,6.511671,471.530367,120.771872,62.614211,592.302239,90.241884,386.872994,213.537096,1646.76011596517,547875.662347,1167.289804,3.50854477595417,9.48759721232125,4436.56083339418
"41",2005-01-01,6412.391136,6.79187248371618,1112.126816,14.087481,505.890695,115.562553,62.233142,621.453248,116.870001,414.352946,216.369478,1722.04353478172,542049.942574,1167.319187,3.70846724833953,9.88038580640322,4532.79280611564
"42",2005-04-01,6503.288416,6.86830578314783,1149.143235,13.848821,540.087517,108.953652,66.543423,649.041169,100.175972,419.709823,231.787998,1792.7384266349,550958.24894,1167.023863,3.7973267993086,9.77249864577273,4620.33711620565
"43",2005-07-01,6690.577346,7.11859037333226,1281.047331,14.670595,591.173413,108.624593,69.115836,699.798006,101.610359,497.462895,288.541793,1822.8058383199,572945.799029,1178.674365,3.74990883542765,9.70538065369959,4703.69969716813
"44",2005-10-01,6844.380716,7.36277585255941,1376.885454,14.979234,634.896634,124.930801,73.951757,759.827435,114.104998,528.127028,302.895662,1911.91774108669,552100.742991,1186.602595,4.10918945826701,10.2561124279048,4764.41201627969
"45",2006-01-01,6867.016616,8.0405243483782,1388.325691,24.586716,675.95476,124.842776,78.720296,800.797536,114.159844,484.221142,272.724906,2007.52129735815,535778.536134,1176.889515,4.40971522123294,10.5341052835459,4830.21483263649
"46",2006-04-01,7031.621579,8.32922712121972,1503.285224,26.401014,719.313621,137.83714,79.164174,857.150761,133.064478,540.569275,300.128053,2115.17760381075,542938.780679,1160.926357,4.52272984981671,10.6001552085261,4953.90644231039
"47",2006-07-01,7153.880376,8.49225004961247,1606.227208,27.222864,790.330611,159.125741,81.112263,949.456352,141.629189,548.435729,300.319864,2286.18530227217,560644.609477,1173.117995,4.78371694414735,10.6273009643189,5067.21413610638
"48",2006-10-01,7366.560542,9.24135364473766,1787.88562,27.531526,891.152254,191.266648,87.501671,1082.418902,133.726447,590.433522,338.421053,2351.14842872996,565654.963444,1184.205484,4.92215757473087,11.0328247229084,5223.98878312986
"49",2007-01-01,7588.734765,9.60285310802878,1949.153781,26.634257,965.749431,178.263824,101.686659,1144.013255,218.978297,676.81961,337.173452,2300.33685736047,570859.080209,1218.679323,4.91079683443704,11.3339129590016,5283.76476380138
"50",2007-04-01,7805.135983,10.1839970286925,2087.756575,27.935521,1047.898314,184.543119,101.802847,1232.441433,253.338885,725.576774,348.292786,2414.54098506122,581488.865381,1230.209874,5.10825286233771,11.3850774038307,5392.39029467214
"51",2007-07-01,8013.876562,9.98698893365548,2115.11342,28.757429,1094.606969,216.894441,114.478366,1311.50141,203.292071,660.376215,337.619499,2537.14808510969,592836.857182,1234.591941,5.28365019997125,11.4767227940009,5496.10900864939
"52",2007-10-01,8158.328192,10.3620875562258,2184.033148,28.55254,1138.353704,236.609381,122.396846,1374.963085,227.230457,658.120677,319.611113,2734.51003627488,604097.912126,1252.533001,5.66971676817452,11.7241778078061,5673.0739595748
"53",2008-01-01,8117.791794,10.5574913938721,2092.183563,17.521883,1080.944571,254.754746,138.568289,1335.699317,196.345659,600.394074,302.203906,2700.79141813752,617492.519928,1277.042883,5.58553561005429,11.5968969455764,5628.87569498575
"54",2008-04-01,8187.734822,9.98614431351785,2233.963022,18.602288,1161.528901,279.782832,150.225218,1441.311733,209.42423,623.823782,310.878316,2828.41779049684,611802.117919,1265.511638,5.8505773781481,11.7945925258172,5728.81674083875
"55",2008-07-01,8098.837533,9.75696294961281,2176.000602,18.389214,1135.804151,286.86754,153.674192,1422.671691,182.507128,581.265506,298.643113,2926.50769622689,606337.822208,1262.264567,6.09235781556241,11.7382967213747,5656.85531958436
"56",2008-10-01,8002.459898,10.0188352036012,1947.839577,16.440592,1002.747375,278.944892,149.264933,1281.692267,144.990107,500.441784,264.23076,2923.20865045637,584005.167061,1239.982857,6.20667216394918,11.9896704485384,5690.04739227782
"57",2009-01-01,6953.532842,6.77050490137576,1518.286214,10.053383,746.334074,255.16217,135.734372,1001.496244,82.286489,371.002214,208.094726,2680.59829157719,558497.314111,1188.755495,5.70562448285414,10.9211005535128,5154.94595078599
"58",2009-04-01,6879.930996,5.93195843405522,1224.389477,8.139822,574.553799,231.708922,127.404718,806.262721,39.727621,282.582217,169.36327,2616.37849072676,542515.402516,1160.938118,5.59883370483738,11.1258063389382,5199.74505998897
"59",2009-07-01,6920.448937,5.60401493737014,1065.008469,7.646972,480.687235,208.179405,123.159315,688.86664,24.550991,245.335542,148.26407,2548.54769704337,525660.898765,1155.779407,5.60353443240759,11.4726897994933,5267.26289270061
"60",2009-10-01,6813.530196,5.38347581446126,1013.970289,8.826501,447.158832,184.768916,123.011962,631.927748,30.157726,250.204077,142.36663,2484.8634108432,520695.446986,1131.432638,5.39942413607391,11.4570550960425,5321.9608825166
"61",2010-01-01,6880.534911,4.93295613294992,1007.016298,12.623375,462.208378,160.094725,128.871043,622.303103,37.905264,243.218776,130.33215,2594.23018150584,514259.73329,1106.015173,5.57939453016045,11.8590809480923,5525.90524367438
